@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,AGDER,42.0,,2012,2012,1,True,"['01440', '300125010101250']","{'@type': 'Point', 'coordinates': [6.8817, 59.3335], 'nearest': False}",,SN40510,1105.0,BYKLE,4222,BLÅSJØ,,Blåsjø,['MET.NO'],2011-10-03T00:00:00.000Z,0-20000-0-01440,1440.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,2.0,2019,1941,78,True,"['01023', '10.249.0.36', '10.249.1.46', 'ENDU']","{'@type': 'Point', 'coordinates': [18.5437, 69.0577], 'nearest': False}",['ENDU'],SN89350,76.0,MÅLSELV,5418,BARDUFOSS,,Bardufoss,"['MET.NO', 'AVINOR']",1940-07-01T00:00:00.000Z,0-20000-0-01023,1023.0
SensorSystem,Norge,NO,INNLANDET,34.0,3.0,2019,1999,17,True,['01360'],"{'@type': 'Point', 'coordinates': [7.8955, 61.8957], 'nearest': False}",,SN15730,664.0,SKJÅK,3433,BRÅTÅ - SLETTOM,,Bråtå,['MET.NO'],1998-11-01T00:00:00.000Z,0-20000-0-01360,1360.0
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,1901,1900,2,True,,"{'@type': 'Point', 'coordinates': [6.8238, 59.8304], 'nearest': False}",,SN46450,393.0,ULLENSVANG,4618,RØLDAL,,Røldal,['MET.NO'],1883-01-01T00:00:00.000Z,0-578-0-46450,
SensorSystem,Norge,NO,AGDER,42.0,1.0,2019,2008,12,True,"['01431', '10.249.1.28']","{'@type': 'Point', 'coordinates': [6.9097, 58.923], 'nearest': False}",,SN42940,560.0,SIRDAL,4228,SIRDAL - SINNES,,Sinnes,['MET.NO'],2007-07-02T00:00:00.000Z,0-20000-0-01431,1431.0
SensorSystem,Norge,NO,INNLANDET,34.0,1.0,2012,2011,2,True,"['01365', '10.249.0.145']","{'@type': 'Point', 'coordinates': [8.9228, 61.2508], 'nearest': False}",,SN23550,965.0,ØYSTRE SLIDRE,3453,BEITOSTØLEN II,,Beitostølen,['MET.NO'],2010-08-28T00:00:00.000Z,0-20000-0-01365,1365.0
SensorSystem,Norge,NO,INNLANDET,34.0,1.0,2019,2013,7,True,['18'],"{'@type': 'Point', 'coordinates': [10.5592, 60.3558], 'nearest': False}",,SN20540,245.0,GRAN,3446,GRAN,,Gran,['NIBIO'],2005-01-01T00:00:00.000Z,0-578-0-20540,
SensorSystem,Norge,NO,AGDER,42.0,5.0,2019,2002,13,True,['01441'],"{'@type': 'Point', 'coordinates': [7.3897, 59.5766], 'nearest': False}",,SN40880,841.0,BYKLE,4222,HOVDEN - LUNDANE,,Hovden,['MET.NO'],1994-11-01T00:00:00.000Z,0-20000-0-01441,1441.0
SensorSystem,Norge,NO,VIKEN,30.0,1.0,1932,1922,11,True,,"{'@type': 'Point', 'coordinates': [11.388, 59.1223], 'nearest': False}",,SN1230,3.0,HALDEN,3001,HALDEN,,Halden,['HALDEN KOMMUNE'],1882-12-01T00:00:00.000Z,0-578-0-1230,
SensorSystem,Norge,NO,INNLANDET,34.0,1.0,2019,2007,13,True,['01233'],"{'@type': 'Point', 'coordinates': [9.1147, 62.07165], 'nearest': False}",,SN16560,638.0,DOVRE,3431,DOMBÅS - NORDIGARD,,Dombås,['MET.NO'],2006-08-31T00:00:00.000Z,0-20000-0-01233,1233.0
